DEBUG 2024-08-08 07:32:02,333 autoreload File C:\Python311\Lib\operator.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,334 autoreload File C:\Python311\Lib\zoneinfo\__init__.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,335 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1721548315.628672
DEBUG 2024-08-08 07:32:02,336 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1721548315.628672
DEBUG 2024-08-08 07:32:02,337 autoreload File C:\Python311\Lib\urllib\parse.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,337 autoreload File C:\Users\777\Documents\project\shop\shop\__init__.py first seen with mtime 1721548438.3197365
DEBUG 2024-08-08 07:32:02,338 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\text.py first seen with mtime 1721548316.0828724
DEBUG 2024-08-08 07:32:02,339 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1721548315.6820548
DEBUG 2024-08-08 07:32:02,339 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1721548315.7979403
DEBUG 2024-08-08 07:32:02,340 autoreload File C:\Python311\Lib\multiprocessing\context.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,341 autoreload File C:\Users\777\Documents\project\shop\orders\forms.py first seen with mtime 1723089269.7880328
DEBUG 2024-08-08 07:32:02,341 autoreload File C:\Python311\Lib\string.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,342 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1721548316.098498
DEBUG 2024-08-08 07:32:02,343 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1721548315.7510612
DEBUG 2024-08-08 07:32:02,343 autoreload File C:\Python311\Lib\wsgiref\headers.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,344 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1721548313.3451383
DEBUG 2024-08-08 07:32:02,345 autoreload File C:\Python311\Lib\asyncio\transports.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,345 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\i18n.py first seen with mtime 1721548316.098498
